,positions
4213,rnbqkbnr/pp2pp1p/3p2p1/2p5/4P3/5NP1/PPPP1P1P/RNBQK2R w KQkq - 0 4
4214,rnbqk1nr/ppp2ppp/3p4/2b1p3/4PP2/5N2/PPPP2PP/RN1QKB1R w KQkq - 0 4
4215,rnbqk2r/pppp1ppp/5n2/4p3/1b2P3/1PN5/P1PP1PPP/R2QKBNR w KQkq - 1 4
4216,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/1P4P1/P2PPP1P/RNBQK1NR w KQkq - 0 4
4217,rnbqkb1r/pp1p1ppp/5n2/2p1p3/2P5/1P4P1/P2PPP1P/RNBQK1NR w KQkq - 1 4
4218,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/3P2P1/PP2PP1P/RNBQK1NR w KQkq - 0 4
4219,r1bqkbnr/pp2pppp/2n5/2pp4/8/2N2NP1/PPPPPP1P/R1BQK2R w KQkq - 0 4
4220,rnbqk2r/ppppppbp/5np1/8/2P5/1P4P1/P2PPP1P/RNBQK1NR w KQkq - 1 4
4221,rnbqkb1r/pp2pppp/5n2/2pp4/8/3P1NP1/PPP1PP1P/RNBQK2R w KQkq - 0 4
4222,r1bqkbnr/pp1p1ppp/2n5/2p1p3/2P5/5NP1/PP1PPP1P/RNBQK2R w KQkq - 0 4
4223,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/2N3P1/PPPP1P1P/R1BQK1NR w KQkq - 0 4
4224,r1bqkb1r/pp1ppppp/2n2n2/2p5/2P5/2N3P1/PP1PPP1P/R1BQK1NR w KQkq - 2 4
4225,rnbqk2r/ppppppbp/5np1/8/1P6/5NP1/P1PPPP1P/RNBQK2R w KQkq - 1 4
4226,rnbqkb1r/pppppppp/1n6/4P3/8/6P1/PPPP1P1P/RNBQK1NR w KQkq - 1 4
4227,rnbqkb1r/pp1p1ppp/5n2/2p1p3/4P3/6P1/PPPPQP1P/RNB1K1NR w KQkq - 1 4
4228,rnbqk2r/pppp1ppp/5n2/4p3/1b2P3/1PN5/P1PP1PPP/R2QKBNR w KQkq - 3 4
4229,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/1P4P1/P1PP1P1P/RNBQK1NR w KQkq - 1 4
4230,r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P5/1P4P1/P2PPP1P/RNBQK1NR w KQkq - 0 4
4231,r1bqkbnr/pp2pppp/2np4/2p5/4P3/6P1/PPPPNP1P/RNBQK2R w KQkq - 1 4
4232,rnbqkbnr/pp2pp1p/6p1/2pp4/5P2/5NP1/PPPPP2P/RNBQK2R w KQkq - 0 4
4233,rnbqkbnr/ppp2ppp/8/3p4/4p2N/6P1/PPPPPP1P/RNBQK2R w KQkq - 0 4
4234,rnbqk1nr/pp1pppbp/6p1/2p5/2P5/5NP1/PP1PPP1P/RNBQK2R w KQkq - 1 4
4235,rnbqkb1r/pp2pppp/5n2/2pp4/4PP2/3P4/PPP3PP/RN1QKBNR w KQkq - 0 4
4236,rnbqk1nr/pp1pppbp/6p1/2p5/3PPP2/8/PPP3PP/RN1QKBNR w KQkq - 1 4
4237,rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/3P2P1/PP2PP1P/RNBQK1NR w KQkq - 0 4
4238,rnbqkbnr/pp2pp1p/3p2p1/2p5/2P5/5NP1/PP1PPP1P/RNBQK2R w KQkq - 0 4
4239,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N3P1/PP1PPP1P/R1BQK1NR w KQkq - 3 4
4240,r1bqkb1r/pp1ppppp/2n2n2/2p5/2P5/5NP1/PP1PPP1P/RNBQK2R w KQkq - 2 4
4241,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/4P2P/PP1P1PP1/RNBQK1NR w KQkq - 1 4
4242,r1bqkbnr/pppp1pp1/2n5/4p2p/4P3/2N3P1/PPPP1P1P/R1BQK1NR w KQkq - 0 4
4243,rnbqk2r/ppppppbp/5np1/8/8/1P3NP1/P1PPPP1P/RNBQK2R w KQkq - 1 4
4244,rnbqkb1r/pp1ppp1p/5np1/2p5/8/1P3NP1/P1PPPP1P/RNBQK2R w KQkq - 0 4
4245,r1bqkb1r/pppp1ppp/2n2n2/4p3/8/2N5/PPPPPPPP/R2QKBNR w KQkq - 0 4
4246,rnbqk1nr/pp1pppbp/6p1/2p5/2PP4/6P1/PP2PP1P/RN1QKBNR w KQkq - 1 4
4247,rnbqkb1r/ppp2ppp/5n2/3pp3/8/5P2/PPPPPNPP/RN1QKB1R w KQkq - 2 4
4248,rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/2N3P1/PP1PPP1P/R1BQK1NR w KQkq - 0 4
4249,r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P5/5NP1/PP1PPP1P/RNBQK2R w KQkq - 2 4
4250,rnbqk2r/pppp1ppp/5n2/2b1p3/2P5/2N3P1/PP1PPP1P/R1BQK1NR w KQkq - 3 4
4251,r1bqkb1r/pp1ppppp/2n2n2/2p5/2P5/5NP1/PP1PPP1P/RNBQK2R w KQkq - 3 4
4252,r1bqkbnr/pp2pppp/2n5/2pp4/3P4/4PP2/PPP3PP/RN1QKBNR w KQkq - 1 4
4253,r1bqkbnr/ppp1pppp/2n5/8/2Pp2P1/8/PP1PPPBP/RN1QK1NR w KQkq - 0 4
4254,r1bqkbnr/ppp1pppp/2n5/8/2Pp4/5NP1/PP1PPP1P/RNBQK2R w KQkq - 0 4
4255,rnbqk1nr/pp1pppbp/6p1/2p5/2P5/5NP1/PP1PPP1P/RNBQK2R w KQkq - 2 4
4256,r1bqkbnr/ppp1pppp/2n5/8/2Pp4/5NP1/PP1PPP1P/RNBQK2R w KQkq - 1 4
4257,rnbqkb1r/pppp1ppp/5n2/8/2P1p3/5NP1/PP1PPP1P/RNBQK2R w KQkq - 0 4
4258,rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/5NP1/PP1PPP1P/RNBQK2R w KQkq - 0 4
4259,rnbqk1nr/ppp1ppbp/6p1/3p4/5P2/5NP1/PPPPP2P/RNBQK2R w KQkq - 0 4
4260,r1bqkbnr/ppp2ppp/2n5/3pp3/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 0 4
4261,r1bqkb1r/ppp1pppp/2n2n2/3p4/8/3P1NP1/PPP1PP1P/RNBQK2R w KQkq - 1 4
4262,rnb1kbnr/pp2pppp/1qp5/3p4/3PP3/5P2/PPP3PP/RN1QKBNR w KQkq - 1 4
4263,r1bqkbnr/pp1ppp1p/2n3p1/2p5/8/2N2NP1/PPPPPP1P/R1BQK2R w KQkq - 0 4
4264,rnbqk1nr/ppp1ppbp/6p1/3p4/5P2/5NP1/PPPPP2P/RNBQK2R w KQkq - 1 4
4265,rnbqkb1r/ppp2ppp/5n2/3pp3/8/1P2P2P/P1PP1PP1/RN1QKBNR w KQkq - 1 4
4266,r1bqkbnr/pp2pppp/2n5/2pp4/4P3/3P2P1/PPP2P1P/RNBQK1NR w KQkq - 0 4
4267,rnbqk2r/ppppppbp/5np1/8/5P2/5NP1/PPPPP2P/RNBQK2R w KQkq - 1 4
4268,rnbqkbnr/ppp2ppp/4p3/8/2Pp4/2N3P1/PP1PPP1P/R1BQK1NR w KQkq - 0 4
4269,rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/4P3/PP1P1PPP/RNBQK1NR w KQkq - 0 4
4270,rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/5NP1/PP1PPP1P/RNBQK2R w KQkq - 2 4
4271,r1bqkbnr/pp1p1ppp/2n1p3/2p5/2P1P3/6P1/PP1P1P1P/RNBQK1NR w KQkq - 1 4
4272,rnbqkb1r/ppp1pp1p/5np1/3p4/5P2/5NP1/PPPPP2P/RNBQK2R w KQkq - 0 4
4273,rnbqkbnr/pp3ppp/2p5/3pp3/3PP3/5P2/PPP3PP/RN1QKBNR w KQkq - 0 4
4274,r1bqkbnr/ppp2ppp/2n5/3pp3/6P1/3P3P/PPP1PP2/RN1QKBNR w KQkq - 1 4
4275,rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/5NP1/PP1PPP1P/RNBQK2R w KQkq - 1 4
4276,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/4P3/PPQP1PPP/RNB1K1NR w KQkq - 3 4
4277,rnbqkbnr/pp3ppp/2p5/3pp3/2P5/1P4P1/P2PPP1P/RNBQK1NR w KQkq - 0 4
4278,rnbqkbnr/pp3ppp/2p5/3pp3/2P5/1P4P1/P2PPP1P/RN1QKBNR w KQkq - 0 4
4279,r1bqkbnr/ppp2ppp/2n5/3pp3/6P1/3P4/PPP1PPBP/RN1QK1NR w KQkq - 0 4
4280,r1bqkbnr/pp2pppp/2n5/2pp4/8/1P3NP1/P1PPPP1P/RNBQK2R w KQkq - 1 4
4281,rnbqkbnr/pp2pppp/8/2p5/2Pp4/5NP1/PP1PPP1P/RNBQK2R w KQkq - 0 4
4282,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/5NP1/PPPP1P1P/RNBQK2R w KQkq - 1 4
4283,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/5P2/PP2P1PP/RN1QKBNR w KQkq - 0 4
4284,rnbqk1nr/pp1pppbp/6p1/2p5/4P3/5NP1/PPPP1P1P/RNBQK2R w KQkq - 1 4
4285,rnbqkb1r/pp2pppp/5n2/2pp4/8/1P3NP1/P1PPPP1P/RNBQK2R w KQkq - 0 4
4286,r1bqkbnr/ppp2ppp/2n5/3pp3/3P4/1P5P/P1P1PPP1/RN1QKBNR w KQkq - 0 4
4287,rnbqkbnr/ppp2ppp/4p3/8/2Pp4/1PN5/P2PPPPP/R2QKBNR w KQkq - 0 4
4288,r1bqkbnr/pp2pppp/2n5/2pp4/8/3P1NP1/PPP1PP1P/RNBQK2R w KQkq - 1 4
4289,rnbqkb1r/ppp2ppp/5n2/3pp3/4P3/2N3P1/PPPP1P1P/R1BQK1NR w KQkq - 0 4
4290,rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/4P1P1/PP1P1P1P/RNBQK1NR w KQkq - 1 4
4291,rnbqkbnr/ppp2ppp/8/3p4/3Pp3/N6N/PPP1PPPP/R1BQK2R w KQkq - 0 4
4292,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5P2/PP2P1PP/RN1QKBNR w KQkq - 0 4
4293,rnbqk1nr/pp1pppbp/6p1/2p5/2PPP3/8/PP3PPP/RN1QKBNR w KQkq - 0 4
4294,rnbqkb1r/ppp1pppp/3p4/3nP3/8/6P1/PPPP1P1P/RNBQK1NR w KQkq - 0 4
4295,r1bqkbnr/pp2pppp/2n5/2pp4/4P3/5NP1/PPPP1P1P/RNBQK2R w KQkq - 0 4
4296,r1bqkbnr/ppp2ppp/2n5/3pp3/6P1/3P3P/PPP1PP2/RNBQK1NR w KQkq - 1 4
4297,rnbqkbnr/ppp1ppp1/8/3p4/2P2P1p/6P1/PP1PP2P/RNBQK1NR w KQkq - 0 4
4298,rn1qkbnr/pbppppp1/1p5p/6B1/2PP4/8/PP2PPPP/RN1QK1NR w KQkq - 0 4
4299,rnbqkb1r/pppp1ppp/5n2/4p3/3PP3/3B4/PPP2PPP/R1BQK1NR w KQkq - 0 4
4300,rnbqkb1r/pppp1ppp/5n2/4p3/3PP3/3B4/PPP2PPP/RNBQK2R w KQkq - 0 4
4301,r1bqkbnr/pp1ppppp/n7/2p5/4P3/2P2N2/PP1P1PPP/R1BQKB1R w KQkq - 2 4
4302,r1bqkb1r/pppppp1p/n4np1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 4
4303,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 4 4
4304,r1bqkb1r/pppppppp/n7/3nP3/8/5N2/PPPP1PPP/R1BQKB1R w KQkq - 1 4
4305,r2qkbnr/pppnpppp/8/3p1b2/2PP4/1Q6/PP2PPPP/RNB1KB1R w KQkq - 3 4
4306,rnbqkbnr/p2ppp1p/6p1/1ppP4/2P5/8/PP2PPPP/RNBQKB1R w KQkq - 0 4
4307,rnbqkb1r/pppppppp/8/2n1P3/8/3P4/PPP2PPP/R1BQKBNR w KQkq - 1 4
4308,rn1qkbnr/1bpppppp/p7/1p6/P2PP3/8/1PP2PPP/RNBQKB1R w KQkq - 1 4
4309,rnbqkbnr/p2ppp1p/2p3p1/1p6/8/5NP1/PPPPPPBP/R1BQK2R w KQkq - 0 4
4310,rnb1kbnr/pp1pppp1/2p4p/q7/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 1 4
4311,rnbqkbnr/p2ppp1p/6p1/1ppP4/2P5/8/PP2PPPP/R1BQKBNR w KQkq - 0 4
4312,rnbqkb1r/pppppppp/8/2n1P3/8/3P4/PPP2PPP/RNBQKB1R w KQkq - 1 4
4313,rn1qkbnr/ppp2ppp/3p4/4p3/3PP1b1/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4314,rnbqk2r/ppppppbp/5np1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 3 4
4315,rn1qkb1r/pbpppppp/5n2/1p6/3PP3/3B4/PPP2PPP/RNBQK2R w KQkq - 3 4
4316,rnbqk1nr/pp1pppbp/2p3p1/8/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 0 4
4317,rnbqkbnr/p2ppp1p/1p4p1/2p5/4P3/2P2N2/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4318,rnbqkbnr/pp1p1ppp/8/2pPp3/2P5/8/PP2PPPP/RNBQKB1R w KQkq - 0 4
4319,r1bqkbnr/pppp1p1p/2n3p1/4p3/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 1 4
4320,rnbqkbnr/pp1pp1p1/7p/2p2p2/3P3B/8/PPP1PPPP/RN1QKB1R w KQkq - 0 4
4321,r1bqkbnr/ppp2ppp/2n1p3/3p4/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4322,r1bqkbnr/ppp2ppp/2n1p3/3pP3/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 0 4
4323,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP2PPPP/RNBQKB1R w KQkq - 0 4
4324,r1bqkb1r/pppppppp/2n5/4P3/6n1/5N2/PPPP1PPP/R1BQKB1R w KQkq - 1 4
4325,rnbqkb1r/p1pp1ppp/1p2pn2/8/2P1P3/2N5/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4326,r1bqkbnr/pp1npppp/2pp4/8/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 1 4
4327,rnbqkb1r/pppppp1p/6p1/3nP3/3P4/8/PPP2PPP/RNBQKB1R w KQkq - 1 4
4328,rnbqkbnr/pp2ppp1/2p4p/3p4/3PP3/3B4/PPP2PPP/R1BQK1NR w KQkq - 0 4
4329,rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 2 4
4330,rnbqkbnr/ppp3pp/3p4/4pp2/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4331,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 4
4332,rnbqkb1r/pp1ppppp/2p5/3nP3/3P4/8/PPP2PPP/RNBQKB1R w KQkq - 0 4
4333,rnb1kbnr/ppq1pppp/2pp4/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 4
4334,rnbqkb1r/1ppp1ppp/p3pn2/8/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 1 4
4335,rnbqkb1r/pppp1p1p/4pnp1/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4336,rnbqkb1r/pp1ppp1p/2p2np1/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4337,rnbqkb1r/pp1ppp1p/5np1/2p5/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 4
4338,rnbqkb1r/ppp2ppp/3ppn2/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 4
4339,rnbqkbnr/ppp1pp2/3p2pp/8/3PP2P/8/PPP2PP1/R1BQKBNR w KQkq - 0 4
4340,rnbqkb1r/pppppp1p/6p1/3nP3/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 1 4
4341,r1bqk1nr/ppppbppp/2n1p3/8/4P3/5N2/PPPPQPPP/R1B1KB1R w KQkq - 4 4
4342,rnbqkb1r/pp1ppppp/2p5/3nP3/3P4/8/PPP2PPP/RNBQKB1R w KQkq - 1 4
4343,rnb1kbnr/ppq1pppp/3p4/2p5/3PP3/2P5/PP3PPP/RNBQKB1R w KQkq - 1 4
4344,rnbqk1nr/p1ppppbp/1p4p1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4345,rnbqk1nr/p1pp1ppp/1p2p3/8/1b1PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 4
4346,r1bqkbnr/pp1ppp1p/n1p3p1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4347,rnbqkbnr/pppp3p/5pp1/4p3/2PP4/6P1/PP2PP1P/RNBQKB1R w KQkq - 0 4
4348,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/7P/PPP2PP1/R1BQKBNR w KQkq - 0 4
4349,rnbqkbnr/pp3ppp/2pp4/4p3/2P1P3/2N5/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4350,rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/5P2/PPP3PP/RNBQKB1R w KQkq - 0 4
4351,rnbqk1nr/pp1pppbp/2p3p1/8/2P1P3/2N5/PP1P1PPP/R1BQKB1R w KQkq - 2 4
4352,rnbqkbnr/p2ppp1p/1p4p1/2p5/3PP3/2P5/PP3PPP/RNBQKB1R w KQkq - 0 4
4353,rnbqkb1r/ppp1ppp1/3p1n1p/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4354,r1bqkbnr/pp1p1ppp/2n5/2p1p3/4P3/2P2N2/PP1P1PPP/R1BQKB1R w KQkq - 2 4
4355,rnbqkb1r/pp1p1ppp/2p1pn2/8/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 1 4
4356,rn1qkbnr/1bpppppp/p7/1p6/P2PP3/8/1PP2PPP/R1BQKBNR w KQkq - 1 4
4357,r1bqkbnr/ppp2ppp/2n1p3/3pP3/3P4/8/PPP2PPP/RNBQKB1R w KQkq - 0 4
4358,rnbqkbnr/pp1p2pp/4p3/2p2p2/3P4/6P1/PPP1PPBP/RNBQK2R w KQkq - 0 4
4359,rnbqkb1r/ppp1pp1p/3p1np1/8/2P1P3/2N5/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4360,rnb1kbnr/pp1pp1pp/1qp5/5p2/3P1B2/5N2/PPP1PPPP/R2QKB1R w KQkq - 2 4
4361,rnbqk1nr/ppp2ppp/8/2bpp3/2B1P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 0 4
4362,r1bqkb1r/ppp1pppp/2np1n2/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 2 4
4363,rnb1kbnr/ppqppp1p/6p1/2p5/3PP3/2P5/PP3PPP/R1BQKBNR w KQkq - 1 4
4364,rnbqk1nr/1pppppbp/p5p1/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4365,rnbqkb1r/1p1ppppp/p4n2/2pP4/2P5/8/PP2PPPP/RNBQKB1R w KQkq - 0 4
4366,rnbqkb1r/ppp2ppp/3ppn2/8/2P1P3/2N5/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4367,rnbqkb1r/pp2pppp/2pp1n2/8/2P1P3/2N5/PP1P1PPP/R1BQKB1R w KQkq - 2 4
4368,rnbqkb1r/ppppp2p/5np1/5p2/3P3P/6P1/PPP1PP2/R1BQKBNR w KQkq - 1 4
4369,rnb1kbnr/pp1ppp1p/6p1/q1p5/4P3/2P2N2/PP1P1PPP/R1BQKB1R w KQkq - 1 4
4370,r1bqkbnr/pppp1pp1/2n4p/4p3/2B1P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 0 4
4371,rnbqk1nr/p1pp1ppp/1p2p3/8/1b1PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 4
4372,r1bqk1nr/pppp1ppp/2nb4/1B2p3/4P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 4 4
4373,rnb1kbnr/pp1pp1pp/1qp5/5pB1/3P4/4P3/PPP2PPP/RN1QKB1R w KQkq - 1 4
4374,rnbqkb1r/pp2pppp/2pp1n2/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4375,rn1qkb1r/pbpppppp/1p3n2/8/3PP3/3B4/PPP2PPP/RNBQK2R w KQkq - 3 4
4376,rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/8/PP2PPPP/RNBQKB1R w KQkq - 0 4
4377,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4378,rnbqkbnr/ppp2p1p/4p1p1/3p4/3PP3/8/PPPN1PPP/R1BQKB1R w KQkq - 0 4
4379,r1bqkb1r/ppp1pppp/2n2n2/3p4/2PP4/4P3/PP3PPP/RNBQKB1R w KQkq - 1 4
4380,rnbqkbnr/pp1p1ppp/8/2pPp3/2P5/8/PP2PPPP/R1BQKBNR w KQkq - 0 4
4381,rnbqk1nr/pppp1pbp/4p1p1/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 4
4382,rnbqkbnr/pp3ppp/2pp4/4p3/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 0 4
4383,rnbqkb1r/ppp1pp1p/3p1np1/8/2BPP3/8/PPP2PPP/R1BQK1NR w KQkq - 2 4
4384,rnbqkbnr/p3pppp/1pp5/3pP3/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 0 4
4385,rnbqk1nr/pp1pppbp/2p3p1/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4386,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4387,rnbqkbnr/p2ppp1p/1p4p1/2p5/3PP2P/8/PPP2PP1/RNBQKB1R w KQkq - 0 4
4388,rnbqkbnr/pp3ppp/2ppp3/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 4
4389,r1bqkb1r/pppp1ppp/2n1pn2/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 4
4390,rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 4
4391,rnbqkbnr/pp2pp1p/3p2p1/2p5/4P3/2P2N2/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4392,r1bqkb1r/ppp1pppp/2n2n2/3p4/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 4
4393,rnbqkb1r/pp1ppppp/5n2/2p5/2PP1B2/8/PP2PPPP/RN1QKB1R w KQkq - 0 4
4394,rn1qkb1r/pbpppppp/5n2/1p4B1/3P4/5N2/PPP1PPPP/R2QKB1R w KQkq - 2 4
4395,rnbqkb1r/pppp1p1p/4pnp1/8/2P1P3/2N5/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4396,rnbqk2r/ppppbppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 2 4
4397,rn1qkb1r/ppp1pppp/5n2/3p1b2/2PP4/1Q6/PP2PPPP/RNB1KB1R w KQkq - 3 4
4398,rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 2 4
4399,rnbqkb1r/pppp1ppp/4p3/3nP3/8/5N2/PPPP1PPP/R1BQKB1R w KQkq - 1 4
4400,r1bqkb1r/pppppp1p/2n2np1/8/2PP4/5P2/PP2P1PP/RNBQKB1R w KQkq - 1 4
4401,rnbqkb1r/pp1ppppp/2p5/3nP3/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 1 4
4402,rnb1kbnr/ppq1pppp/2pp4/8/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 1 4
4403,rnbqkb1r/ppppppp1/7p/4P3/4n3/5N2/PPPP1PPP/R1BQKB1R w KQkq - 1 4
4404,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 4 4
4405,rnbqkbnr/ppp1pp1p/6p1/3p4/3PPP2/8/PPP3PP/R1BQKBNR w KQkq - 0 4
4406,rnbqkb1r/ppppp2p/5np1/5p2/3P1B2/4P3/PPP2PPP/RN1QKB1R w KQkq - 0 4
4407,rnbqkb1r/p2ppppp/2p2n2/1p4B1/3P4/4P3/PPP2PPP/RN1QKB1R w KQkq - 0 4
4408,rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 1 4
4409,rnbqkb1r/ppppp2p/5np1/5p2/2PP3P/8/PP2PPP1/RNBQKB1R w KQkq - 1 4
4410,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 4
4411,rnbqk1nr/pp1pppbp/2p3p1/8/2B1P3/2N5/PPPP1PPP/R1BQK2R w KQkq - 2 4
4412,rnbqkb1r/pp2pppp/3p1n2/2pP4/2P5/8/PP2PPPP/RNBQKB1R w KQkq - 1 4
4413,r1bqkb1r/pppnpppp/3p1n2/8/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 1 4
4414,rnbqk1nr/pp1pppbp/2p3p1/8/2PPP3/8/PP3PPP/RNBQKB1R w KQkq - 1 4
4415,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 2 4
4416,rnbqkb1r/pp1ppppp/2p5/3nP3/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 0 4
4417,r1bqkb1r/pppppppp/2n5/3nP3/8/5N2/PPPP1PPP/R1BQKB1R w KQkq - 1 4
4418,rnbqkb1r/pp1ppp1p/5np1/2pP4/2P5/8/PP2PPPP/RNBQKB1R w KQkq - 0 4
4419,r1bqk1nr/ppppppbp/2n3p1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 4
4420,rn2kbnr/pppqpppp/8/3p1b2/2PP4/1Q6/PP2PPPP/RNB1KB1R w KQkq - 3 4
4421,r1bqkbnr/pppp1p1p/2n3p1/4p3/2B1P3/5N2/PPPP1PPP/R1BQK2R w KQkq - 0 4
4422,rnbqkbnr/ppp1pp2/3p2pp/8/3PP2P/8/PPP2PP1/RNBQKB1R w KQkq - 0 4
4423,rnb1kbnr/ppq1pppp/3p4/2p5/4P3/2P2N2/PP1P1PPP/R1BQKB1R w KQkq - 0 4
4424,r1bqk1nr/ppppppbp/2n3p1/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 4
4425,r1bqkbnr/pp1npppp/3p4/2p5/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 4
4426,r2qkbnr/ppp1pppp/2np4/8/3PP1b1/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 4
4427,rnbqk1nr/p1ppppbp/1p4p1/8/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 4
4428,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 4
4429,r1bqkbnr/p1pp1ppp/1pn5/4p3/4P3/P4N2/1PPP1PPP/R1BQKB1R w KQkq - 2 4
